,States,Daily cases,Cumulative,date
0,Sabah,280,36741,2020-12-30
6,Perak,48,3162,2020-12-30
2,Wp Kuala Lumpur,219,13267,2020-12-30
15,Perlis,0,46,2020-12-30
8,Wp Labuan,2,1638,2020-12-30
13,Terengganu,2,308,2020-12-30
9,Pahang,48,1350,2020-12-30
7,Kedah,23,3000,2020-12-30
14,Wp Putrajaya,1,277,2020-12-30
10,Sarawak,1,1115,2020-12-30
12,Kelantan,56,721,2020-12-30
11,Melaka,8,986,2020-12-30
7,Kedah,24,3024,2020-12-31
5,Pulau Pinang,92,3488,2020-12-31
0,Sabah,299,37040,2020-12-31
1,Selangor,1205,32393,2020-12-31
2,Wp Kuala Lumpur,222,13489,2020-12-31
3,Negeri Sembilan,78,7828,2020-12-31
4,Johor,194,5734,2020-12-31
6,Perak,33,3195,2020-12-31
9,Pahang,15,1365,2020-12-31
10,Melaka,239,1225,2020-12-31
11,Sarawak,2,1117,2020-12-31
12,Kelantan,37,758,2020-12-31
13,Terengganu,17,325,2020-12-31
14,Wp Putrajaya,5,282,2020-12-31
15,Perlis,0,46,2020-12-31
8,Wp Labuan,63,1701,2020-12-31
6,Perak,51,3246,2021-01-01
7,Kedah,20,3044,2021-01-01
1,Selangor,776,33169,2021-01-01
2,Wp Kuala Lumpur,457,13946,2021-01-01
3,Negeri Sembilan,51,7879,2021-01-01
4,Johor,112,5846,2021-01-01
5,Pulau Pinang,226,3714,2021-01-01
0,Sabah,254,37294,2021-01-01
9,Pahang,16,1381,2021-01-01
10,Melaka,23,1248,2021-01-01
11,Sarawak,8,1125,2021-01-01
12,Kelantan,53,811,2021-01-01
13,Terengganu,14,339,2021-01-01
14,Wp Putrajaya,4,286,2021-01-01
15,Perlis,0,46,2021-01-01
8,Wp Labuan,3,1704,2021-01-01
15,Perlis,0,46,2021-01-02
4,Johor,580,6426,2021-01-02
3,Negeri Sembilan,131,8010,2021-01-02
6,Perak,12,3258,2021-01-02
1,Selangor,638,33807,2021-01-02
0,Sabah,259,37553,2021-01-02
5,Pulau Pinang,288,4002,2021-01-02
2,Wp Kuala Lumpur,156,14102,2021-01-02
7,Kedah,47,3091,2021-01-02
10,Melaka,95,1343,2021-01-02
8,Wp Labuan,1,1705,2021-01-02
14,Wp Putrajaya,12,298,2021-01-02
9,Pahang,29,1410,2021-01-02
12,Kelantan,26,837,2021-01-02
11,Sarawak,5,1130,2021-01-02
13,Terengganu,16,355,2021-01-02
7,Kedah,53,3144,2021-01-03
5,Pulau Pinang,103,4105,2021-01-03
0,Sabah,316,37869,2021-01-03
1,Selangor,673,34480,2021-01-03
2,Wp Kuala Lumpur,112,14214,2021-01-03
4,Johor,179,6605,2021-01-03
6,Perak,75,3333,2021-01-03
3,Negeri Sembilan,72,8082,2021-01-03
8,Wp Labuan,16,1721,2021-01-03
9,Pahang,21,1431,2021-01-03
11,Sarawak,10,1140,2021-01-03
12,Kelantan,47,884,2021-01-03
13,Terengganu,4,359,2021-01-03
14,Wp Putrajaya,17,315,2021-01-03
15,Perlis,0,46,2021-01-03
10,Melaka,6,1349,2021-01-03
6,Perak,34,3367,2021-01-04
7,Kedah,45,3189,2021-01-04
1,Selangor,687,35167,2021-01-04
0,Sabah,303,38172,2021-01-04
3,Negeri Sembilan,56,8138,2021-01-04
4,Johor,295,6900,2021-01-04
5,Pulau Pinang,55,4160,2021-01-04
2,Wp Kuala Lumpur,150,14364,2021-01-04
13,Terengganu,4,363,2021-01-04
10,Melaka,34,1383,2021-01-04
11,Sarawak,8,1148,2021-01-04
12,Kelantan,50,934,2021-01-04
